smiles,Delta_Gibbs
C1=CC=C2C(=C1)C=C(S2)N=C=S,-3.6
C1CC2CCC3CC(C1)C2C3,-3.9
C1=CC(=C(C2=C1C(C(=O)N2)N=O)Cl)Cl,-4.0
C1CC2[C@@H]3CC[C@@H](C3)C2C1,-3.5
C1=CC2=C(C=C1C(=O)Cl)SC(=O)N2,-3.9
CCOC1=C(C2=CC=CC=C2C=C1)F,-4.1
CC1=C2C=CSC2=C(C=C1)C,-3.6
C1=CC=C2C(=C1)C=CC(=O)C2(Cl)Cl,-4.3
C1=CC=C2C(=C1)C(=O)C(=O)N=N2,-3.8
C1=CC=C2C(=C1)C(C(=O)N2)(I)I,-3.8
CC1=C(C(=C2C(=C1C)C(=C(N2)C)C)C)C,-4.6
CC1=C(C2=C(C1)C=C(C=C2)C)C,-4.4
CC1=C2C=C(C=CC2=CC=C1)OC,-4.3
C1=CC=C2C(=C1)C(=CC2(Cl)Cl)Cl,-4.1
C1=CC=C2C(=C1)C(=C(N2)N=O)N=O,-4.3
COC1=C(C2=C(C=C1)C=C(C=C2)Br)F,-4.1
CN1C2=CC=CC=C2C(S1(=O)=O)(Cl)Cl,-3.9
CC1=CC2=C(C=C1)C(C(C2)N=O)(C)Cl,-4.2
CC1=CSC2=CC(=C(C=C12)OC)Cl,-3.6
C=C1CSC2=C(S1)SC(=S)S2,-2.9
C1=CC=C2C(=C(C(=S)S2)Cl)C=C1,-3.6
CC1(CCC(C2=C1CC(=O)O2)(C)C)C,-4.0
CC1=CC2=C(C=C1)SC(S2)OC,-3.4
C1=CC2=C(C=CC(=O)C2(F)F)C=C1Br,-4.3
C=C1C(=O)C=CC2=CC=CC=C12,-4.2
C1=CC2=C(C=C1Cl)NC(=O)C=C2Cl,-4.5
CC1=CC2=C(C=C1)C(=C(C=C2)OC)C,-4.4
CC1=C(C2=C(C=C1)C(=C(C2)C=O)C)Cl,-4.2
C1=CC(=C(C2=C1N=CC(=O)N2)Cl)Cl,-3.9
C1=C2C(=CC(=C1Cl)Cl)S[S@@](=O)N2,-3.7
